アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
シーア派　　　　　　　　　　　　　　　　しーあは　　　　　　　　　　　　　　　　,N 4.     ,反フーシ派
ＣＥＯ　　　　　　　　　　　　　　　　　しーいーおー　　　　　　　　　　　　　　,N 4.     ,企業の代表者
ＣＡＲ－Ｔ細胞　　　　　　　　　　　　　しーえーあーるさいぼう　　　　　　　　　,N 1.     ,患者自身のT細胞に遺伝子操作を施し、がん細胞を認識し攻撃する能力を持たせた細胞
ＣＳＦ　　　　　　　　　　　　　　　　　しーえすえふ　　　　　　　　　　　　　　,N 1.     ,豚熱
シークァーサー　　　　　　　　　　　　　しーくぁーさー　　　　　　　　　　　　　,N B.     ,
ＣＣＳ　　　　　　　　　　　　　　　　　しーしーえす　　　　　　　　　　　　　　,N B.     ,二酸化炭素回収・貯留
ＧＳＯＭＩＡ　　　　　　　　　　　　　　じーそみあ　　　　　　　　　　　　　　　,N 1.     ,軍事情報包括保護協定
ＧＤＰ　　　　　　　　　　　　　　　　　じーでぃぴー　　　　　　　　　　　　　　,N 1.     ,国内総生産
ＣＰＲ　　　　　　　　　　　　　　　　　しーぴーあーる　　　　　　　　　　　　　,N B.     ,原始生命体
ＧＰＳ　　　　　　　　　　　　　　　　　じーぴーえす　　　　　　　　　　　　　　,N B.     ,全地球測位システム
シーベルト　　　　　　　　　　　　　　　しーべると　　　　　　　　　　　　　　　,N 1.     ,ｓｉｅｖｅｒｔ
シーレーン　　　　　　　　　　　　　　　しーれーん　　　　　　　　　　　　　　　,N 7.     ,海上交通路
シェールオイル　　　　　　　　　　　　　しぇーるおいる　　　　　　　　　　　　　,N B.     ,油母頁岩オイル
シェールガス　　　　　　　　　　　　　　しぇーるがす　　　　　　　　　　　　　　,N B.     ,ｓｈａｌｅ　ｇａｓ
シェア　　　　　　　　　　　　　　　　　しぇあ　　　　　　　　　　　　　　　　　,N 1.     ,市場占有率
シェアリングエコノミー　　　　　　　　　しぇありんぐえこのみー　　　　　　　　　,N 1.     ,共有の社会関係によって統御される経済を指す
Ｊアラート　　　　　　　　　　　　　　　じぇいあらーと　　　　　　　　　　　　　,N 1.     ,全国瞬時警報システム
Ｊ－ＡＬＥＲＴ　　　　　　　　　　　　　じぇいあらーと　　　　　　　　　　　　　,N 1.     ,
ＪＰＣＺ　　　　　　　　　　　　　　　　じぇいぴーしーぜっと　　　　　　　　　　,N 1.     ,日本海寒帯気団収束帯
ジェイムズウェッブ　　　　　　　　　　　じぇいむずうぇっぶ　　　　　　　　　　　,N 1.     ,望遠鏡
ジェイムズウエッブ　　　　　　　　　　　じぇいむずうえっぶ　　　　　　　　　　　,N B.     ,宇宙望遠鏡
シェディング　　　　　　　　　　　　　　しぇでぃんぐ　　　　　　　　　　　　　　,N 1.     ,ウイルス排泄、暴露
ジェネリック　　　　　　　　　　　　　　じぇねりっく　　　　　　　　　　　　　　,N 1.     ,特許期限の切れた
ジェノサイド　　　　　　　　　　　　　　じぇのさいど　　　　　　　　　　　　　　,N 1.  N  ,計画的絶滅
ジェラート　　　　　　　　　　　　　　　じぇらーと　　　　　　　　　　　　　　　,N B.     ,
シェンゲン協定　　　　　　　　　　　　　しぇんげんきょうてい　　　　　　　　　　,N 1.     ,国境検査なしで国境を越える
ジェンダー　　　　　　　　　　　　　　　じぇんだー　　　　　　　　　　　　　　　,N 1.     ,性差
ジェンダーレス　　　　　　　　　　　　　じぇんだーれす　　　　　　　　　　　　　,N 1.  P  ,性差をなくすこと
塩辛い　　　　　　　　　　　　　　　　　しおからい　　　　　　　　　　　　　　　,K  .     ,
潮溜まり　　　　　　　　　　　　　　　　しおだまり　　　　　　　　　　　　　　　,N 7.     ,
ジオバクター菌　　　　　　　　　　　　　じおばくたーきん　　　　　　　　　　　　,N 1.     ,廃水中にふくまれる有機物を、電気に変換しながら分解する
自戒の念　　　　　　　　　　　　　　　　じかいのねん　　　　　　　　　　　　　　,N 1.  P  ,
ジカ熱　　　　　　　　　　　　　　　　　じかねつ　　　　　　　　　　　　　　　　,N 1.     ,感染症
時間差　　　　　　　　　　　　　　　　　じかんさ　　　　　　　　　　　　　　　　,N 1.     ,
糸球体　　　　　　　　　　　　　　　　　しきゅうたい　　　　　　　　　　　　　　,N B.     ,Ｇｌｏｍｅｒｕｌｕｓ血液をろ過し、老廃物の除去に重要な働きをしている
自給率　　　　　　　　　　　　　　　　　じきゅうりつ　　　　　　　　　　　　　　,N 1.     ,
持久力　　　　　　　　　　　　　　　　　じきゅうりょく　　　　　　　　　　　　　,N 1.     ,
事業継続計画　　　　　　　　　　　　　　じぎょうけいぞくけいかく　　　　　　　　,N 1.     ,ＢＣＰ
磁気冷却する　　　　　　　　　　　　　　じきれいきゃくする　　　　　　　　　　　,D 4.     ,
資金洗浄　　　　　　　　　　　　　　　　しきんせんじょう　　　　　　　　　　　　,N 1.     ,
シグネチャー　　　　　　　　　　　　　　しぐねちゃー　　　　　　　　　　　　　　,N 1.     ,Signature「署名」や「サイン」。また、「特徴的な」「代表的な」
しごき　　　　　　　　　　　　　　　　　しごき　　　　　　　　　　　　　　　　　,N 1.  N  ,
地獄絵図　　　　　　　　　　　　　　　　じごくえず　　　　　　　　　　　　　　　,N 1.     ,
自己中　　　　　　　　　　　　　　　　　じこちゅう　　　　　　　　　　　　　　　,C  .  N  ,
時差Ｂｉｚ　　　　　　　　　　　　　　　じさびず　　　　　　　　　　　　　　　　,N 1.     ,business
地震予知　　　　　　　　　　　　　　　　じしんよち　　　　　　　　　　　　　　　,N 1.     ,
シズル　　　　　　　　　　　　　　　　　しずる　　　　　　　　　　　　　　　　　,N 1.  P  ,五感をを刺激して購買意欲を高める
シズる　　　　　　　　　　　　　　　　　しずる　　　　　　　　　　　　　　　　　,D R.     ,sizzle
シズル感　　　　　　　　　　　　　　　　しずるかん　　　　　　　　　　　　　　　,N 1.     ,
自責の念　　　　　　　　　　　　　　　　じせきのねん　　　　　　　　　　　　　　,N 1.  P  ,
自然遺産　　　　　　　　　　　　　　　　しぜんいさん　　　　　　　　　　　　　　,N 1.     ,
死戦期呼吸　　　　　　　　　　　　　　　しせんきこきゅう　　　　　　　　　　　　,N 1.     ,心停止直後に見られる呼吸のこと
持続可能な開発目標　　　　　　　　　　　じぞくかのうなかいはつもくひょう　　　　,N 1.     ,ＳＤＧｓ
舌鼓　　　　　　　　　　　　　　　　　　したつづみ　　　　　　　　　　　　　　　,N 1.     ,
下振れ　　　　　　　　　　　　　　　　　したぶれ　　　　　　　　　　　　　　　　,N 1.  N  ,
シックハウス　　　　　　　　　　　　　　しっくはうす　　　　　　　　　　　　　　,N 7.  N  ,
湿潤療法　　　　　　　　　　　　　　　　しつじゅんりょうほう　　　　　　　　　　,N 1.     ,Ｍｏｉｓｔ　ｈｅａｌｉｎｇ
実食　　　　　　　　　　　　　　　　　　じっしょく　　　　　　　　　　　　　　　,N 1.     ,
失楽園　　　　　　　　　　　　　　　　　しつらくえん　　　　　　　　　　　　　　,N 1.     ,
自動運転　　　　　　　　　　　　　　　　じどううんてん　　　　　　　　　　　　　,N 1.     ,
自動物流道路　　　　　　　　　　　　　　じどうぶつりゅうどうろ　　　　　　　　　,N 7.     ,
シトシン　　　　　　　　　　　　　　　　しとしん　　　　　　　　　　　　　　　　,N B.     ,ｃｙｔｏｓｉｎｅ核酸を構成する5種類の主な塩基のうちのひとつ
自撮り　　　　　　　　　　　　　　　　　じどり　　　　　　　　　　　　　　　　　,N 1.     ,
自撮り棒　　　　　　　　　　　　　　　　じどりぼう　　　　　　　　　　　　　　　,N B.     ,
シナゴーグ　　　　　　　　　　　　　　　しなごーぐ　　　　　　　　　　　　　　　,N 7.     ,ユダヤ教徒の礼拝所
